species,,primary,TL.a,TL.b,TS.wg.a,TS.wg.b,TS.ind.a,TS.ind.b,TS.ind.b20,est.wg.c,est.wg.exp,true.wg.c,true.wg.exp,notes,source
Sardinops sagax,Pacific sardine,1,1.149,3.574,-14.9,13.21,17.07,66.73,70.51,4.45E-06,3.197,-10.997,2.757,Values for pilchard,Barange et al. 1996
Engraulis mordax,Northern anchovy,1,1.165,2.056,-13.87,11.79681,20,68.09875,,-12.964,3.387,-12.964,3.387,,
Scomber japonicus,Pacific mackerel,1,1.092,2.994,-15.44,7.75,14.66,58.72,66.8,8.00E-06,3.01,8.00E-06,3.01,Values for Cape horse mackerel,Barange et al. 1996
Trachurus symmetricus,Jack mackerel,1,1.078,7.295,-15.44,7.75,14.66,58.72,66.8,8.00E-06,3.01,8.00E-06,3.01,Values for Cape horse mackerel,Barange et al. 1996
Trachurus trachurus capensis,Cape horse mackerel,1,,,-15.44,7.75,14.66,58.72,66.8,,,,,,Barange et al. 1996
Sardinops ocellatus,Pilchard,1,,,-14.9,13.21,17.07,66.73,70.51,,,,,,Barange et al. 1996
Engraulis capensis,South African anchovy,1,,,-12.15,21.12,19.5,75.57,76.1,,,,,,Barange et al. 1996
Clupea pallasii,Pacific herring,,,,,,26.5,76.4,,,,,,Initial values,Thomas et al. 2002
Clupea pallasii,Pacific herring,,,,,,26.2,72.5,,,,,,All seasons and observations; depth independent,Thomas et al. 2002
Clupea pallasii,Pacific herring,,,,,,,,66,,,,,Fall only; depth independent,Thomas et al. 2002
Clupea pallasii,Pacific herring,,,,,,,,62.8,,,,,Spring only; depth independent,Thomas et al. 2002
Ammodytes hexapterus,Pacific sand lance,1,,,,,24.5,84.1,80,,,,,Juveniles,Thomas et al. 2002
