001.1N,34.516748,-120.690378
001.2N,34.548646,-120.622788
002.1N,34.506536,-120.50975
002.2N,34.472499,-120.579254
003.1N,34.415061,-120.4956
003.2N,34.447672,-120.427146
004.1N,34.431655,-120.259202
004.2N,34.466534,-120.190221
005.1N,34.455481,-120.012816
005.2N,34.421018,-120.082736
006.1N,34.383633,-119.958558
006.2N,34.414748,-119.891375
007.1N,34.362892,-119.800405
007.2N,34.395336,-119.733326
008.1N,34.362572,-119.600632
008.2N,34.391089,-119.540107
009.1N,34.347134,-119.432754
009.2N,34.312671,-119.502259
010.1N,34.255871,-119.418604
010.2N,34.289696,-119.3491
011.1N,34.229396,-119.271653
011.2N,34.198115,-119.337446
012.1N,34.122169,-119.291249
012.2N,34.153157,-119.227226
013.1N,34.100262,-119.137355
013.2N,34.06704,-119.203696
014.1N,34.031939,-119.075509
014.2N,34.062591,-119.010552
015.1N,34.030317,-118.879502
015.2N,33.998753,-118.944824
016.1N,33.998434,-118.746716
016.2N,34.029502,-118.67891
017.1N,34.016622,-118.512816
017.2N,33.982479,-118.58232
018.1N,33.91526,-118.518793
018.2N,33.948723,-118.450207
019.1N,33.869735,-118.413912
019.2N,33.835698,-118.483
020.1N,33.732736,-118.492989
020.2N,33.763128,-118.427831
021.1N,33.713627,-118.328821
021.2N,33.682531,-118.394351
022.1N,33.696997,-118.170855
022.2N,33.730781,-118.102722
023.1N,33.6654,-118.035071
023.2N,33.635304,-118.097189
024.1N,33.582301,-118.007555
024.2N,33.609801,-117.948022
025.1N,33.568068,-117.839938
025.2N,33.534649,-117.907253
026.1N,33.474658,-117.830257
026.2N,33.509546,-117.760337
027.1N,33.449981,-117.681676
027.2N,33.416795,-117.750764
028.1N,33.358955,-117.670168
028.2N,33.388866,-117.607646
029.1N,33.334633,-117.52236
029.2N,33.300596,-117.591552
030.1N,33.23635,-117.52491
030.2N,33.269962,-117.456082
031.1N,33.20051,-117.399705
031.2N,33.167851,-117.464458
032.1N,33.098925,-117.406919
032.2N,33.132853,-117.341816
033.1N,33.05295,-117.30532
033.2N,33.018811,-117.372032
034.1N,32.936909,-117.342378
034.2N,32.971175,-117.273383
035.1N,32.881443,-117.259153
035.2N,32.847561,-117.32417
036.1N,32.750236,-117.32391
036.2N,32.782814,-117.25731
037.1N,32.684821,-117.257839
037.2N,32.650252,-117.325991
101.1N,34.111157,-119.942199
101.2N,34.079049,-119.922408
102.1N,34.046743,-119.900347
102.2N,34.028117,-119.93494
103.1N,34.000736,-119.886784
103.2N,33.991338,-119.924387
104.1N,33.930254,-119.805769
104.2N,33.96105,-119.805439
105.1N,33.966539,-119.706177
105.2N,33.937303,-119.69318
106.1N,33.955314,-119.601062
106.2N,33.986227,-119.610658
107.1N,34.023447,-119.531276
107.2N,34.006218,-119.496848
108.1N,34.078266,-119.524607
108.2N,34.048507,-119.545388
109.1N,34.054047,-119.639671
109.2N,34.023176,-119.654713
110.1N,34.050768,-119.732622
110.2N,34.082964,-119.715591
111.1N,34.100976,-119.821473
111.2N,34.067302,-119.831369
201.1N,33.507897,-118.515639
201.2N,33.478654,-118.537072
202.1N,33.480545,-118.609665
202.2N,33.501471,-118.640393
203.1N,33.461861,-118.593989
203.2N,33.437033,-118.622772
204.1N,33.397867,-118.543764
204.2N,33.423319,-118.517069
205.1N,33.359443,-118.490879
205.2N,33.338106,-118.518205
206.1N,33.284958,-118.442422
206.2N,33.316493,-118.430545
207.1N,33.301356,-118.342153
207.2N,33.267888,-118.341498
208.1N,33.30763,-118.301526
208.2N,33.308122,-118.261527
209.1N,33.380005,-118.302878
209.2N,33.353624,-118.327289
210.1N,33.411552,-118.366314
210.2N,33.43221,-118.335137
211.1N,33.429192,-118.434126
211.2N,33.458951,-118.412676
