id,long,lat,region
1,-119.942199,34.111157,santacruz
1,-119.922408,34.079049,santacruz
2,-119.900347,34.046743,santacruz
2,-119.93494,34.028117,santacruz
3,-119.886784,34.000736,santacruz
3,-119.924387,33.991338,santacruz
4,-119.805769,33.930254,santacruz
4,-119.805439,33.96105,santacruz
5,-119.706177,33.966539,santacruz
5,-119.69318,33.937303,santacruz
6,-119.601062,33.955314,santacruz
6,-119.610658,33.986227,santacruz
7,-119.531276,34.023447,santacruz
7,-119.496848,34.006218,santacruz
8,-119.524607,34.078266,santacruz
8,-119.545388,34.048507,santacruz
9,-119.639671,34.054047,santacruz
9,-119.654713,34.023176,santacruz
10,-119.732622,34.050768,santacruz
10,-119.715591,34.082964,santacruz
11,-119.821473,34.100976,santacruz
11,-119.831369,34.067302,santacruz
12,-118.515639,33.507897,catalina
12,-118.537072,33.478654,catalina
13,-118.609665,33.480545,catalina
13,-118.640393,33.501471,catalina
14,-118.593989,33.461861,catalina
14,-118.622772,33.437033,catalina
15,-118.543764,33.397867,catalina
15,-118.517069,33.423319,catalina
16,-118.490879,33.359443,catalina
16,-118.518205,33.338106,catalina
17,-118.442422,33.284958,catalina
17,-118.430545,33.316493,catalina
18,-118.342153,33.301356,catalina
18,-118.341498,33.267888,catalina
19,-118.301526,33.30763,catalina
19,-118.261527,33.308122,catalina
20,-118.302878,33.380005,catalina
20,-118.327289,33.353624,catalina
21,-118.366314,33.411552,catalina
21,-118.335137,33.43221,catalina
22,-118.434126,33.429192,catalina
22,-118.412676,33.458951,catalina
