"0","1","2","3","4","5","6","7","8","9"
0.999879424846134,0.000120210798420645,3.51584420303326e-07,1.2224273628478e-08,5.46746382499549e-10,4.97266884369618e-15,4.3665411434459e-17,3.90170684070014e-16,2.99323486114368e-18,5.35238420708809e-18
0.999680708635075,0.000317687993601677,1.53307737533107e-06,6.68247486985817e-08,3.46913948075232e-09,5.49544894841255e-14,5.93695891408551e-16,4.67018908659914e-15,4.42877711654911e-17,6.98730662102136e-17
0.999153633571348,0.000839296482576272,6.68275913215738e-06,3.65181599828302e-07,2.20046713121832e-08,6.07119382715182e-13,8.06952202597128e-15,5.58819529406238e-14,6.55064607106312e-16,9.11863020399002e-16
0.997753372756274,0.00221538890283735,2.91049939484425e-05,1.99388640079168e-06,1.39453038636239e-07,6.70139150069707e-12,1.09585110769714e-13,6.68080287559104e-13,9.68064775318355e-15,1.18896584110094e-14
0.994027760423543,0.00583403358761961,0.000126463033412037,1.08611625113985e-05,8.81709365957852e-07,7.37972636871388e-11,1.48470327600821e-12,7.96838145753212e-12,1.42727965974763e-13,1.54665527676686e-13
0.984122281958937,0.0152673308611437,0.000546053153380636,5.87932483324356e-05,5.53985208927504e-06,8.07589698690739e-10,1.99895503803045e-11,9.44467064718993e-11,2.09116826037e-12,1.9993688463985e-12
0.958047754500105,0.0392866366467961,0.00231842891499514,0.000312943647351294,3.42261796352015e-05,8.69018101375919e-09,2.64639047812825e-10,1.10075599679242e-09,3.01270370156827e-11,2.54143996157999e-11
0.892092406612288,0.0966965938091457,0.00941536678047109,0.00159327014135382,0.000202256866426693,8.94440525313548e-08,3.35111566439002e-09,1.22709982862559e-08,4.15153263848499e-10,3.08994949723409e-10
0.744186295697111,0.213219363231033,0.0342554629417595,0.00726711168511002,0.00107077263440849,8.24751764322676e-07,3.80166680297862e-08,1.22551285407108e-07,5.12518601212706e-09,3.36567400234326e-09
0.494894847838932,0.374801695548195,0.0993532042976146,0.0264237037185435,0.00451908688697747,6.06253805186644e-06,3.43809697342687e-07,9.75697708734439e-07,5.04394388978599e-08,2.92248407892379e-08
0.236547856425888,0.473534114115178,0.207113656253127,0.0690558328343726,0.0137081528831534,3.20302642508495e-05,2.23479151370373e-06,5.58325571759012e-06,3.56784255478586e-07,1.82392543452774e-07
0.082808770456777,0.438179677729457,0.31621817490399,0.132177726850743,0.0304549872745141,0.000123941800507887,1.0639155098586e-05,2.3399737671923e-05,1.84838463926806e-06,8.33706601564678e-07
0.0234055923290044,0.327370221440914,0.389808137136925,0.204268862640639,0.0546290799174743,0.000387222924610226,4.08943441362024e-05,7.91809008865687e-05,7.7315220875637e-06,3.07684332229213e-06
0.00576729686614169,0.213223703893334,0.418913488184328,0.275204438075877,0.0854277012378449,0.00105466295357668,0.000137034123109677,0.000233581938910883,2.81933719911677e-05,9.89935488662973e-06
0.00129307453951891,0.12636604040241,0.409634352988199,0.337370635271423,0.1215548068163,0.00261375516868883,0.000417823426129365,0.000626984295232876,9.35465177086313e-05,2.89805743890086e-05
0.000270417850735111,0.0698531208492343,0.373618987788535,0.385762197510326,0.161326643144705,0.00604194351197949,0.00118827617408464,0.00156976488101127,0.000289513468019401,7.91348213696296e-05
5.35004918737033e-05,0.0365301850843503,0.322382998590455,0.417294515788887,0.202558596375882,0.0132129270913126,0.00319707345470388,0.00371811807004347,0.000847657755683801,0.000204427296808494
1.00583489740557e-05,0.0181536700463042,0.264339356137591,0.428955453519628,0.241680586963188,0.0274579381805039,0.00817399459600853,0.00836870484892332,0.0023584073226039,0.000501830036275217
1.78455249965604e-06,0.00851355032770859,0.204543286763299,0.416116958193939,0.272123820858887,0.0538481159019492,0.0197219468027992,0.0177757130429137,0.00619228297246255,0.00116254058354275
2.92559246937716e-07,0.00368925647902973,0.146248191244411,0.372992850681279,0.28312174362742,0.0975786875797684,0.0439690508457973,0.0348881291319118,0.0150232759651312,0.00248852188600492
4.28169039390548e-08,0.00142719698727611,0.0933496529113998,0.298471268033326,0.262964315902783,0.157854280683026,0.0875107344914883,0.061128714391501,0.0325383424970467,0.00475545128524931
5.40476282626712e-09,0.000476199506543335,0.0513919220611835,0.205998711021225,0.210659167159992,0.220250906058149,0.150222683739909,0.0923789012280279,0.0607835633834685,0.00783794043673844
5.82791859932108e-10,0.000135727990066045,0.0241686543030867,0.121451233837125,0.144158203939815,0.262515227266523,0.220285118924305,0.11925477534865,0.0969956690672362,0.0110353887404014
5.50357083016498e-11,3.38800577025347e-05,0.00995415331722492,0.0627095387116264,0.0863957958117711,0.274022069942147,0.282897461255449,0.134825801741889,0.135554136932546,0.0136071621746089
4.74094044249202e-12,7.71449889618302e-06,0.0037397712437701,0.0295361671790349,0.0472318234450283,0.260918841696325,0.331407091040114,0.139046192421745,0.172807292473374,0.0153051059969721
3.85744540245625e-13,1.65915381506807e-06,0.00132709220723641,0.013139838208366,0.0243888972636248,0.234660877298029,0.366699140590225,0.135444239497922,0.208078258397577,0.0162599973828186
3.03109969266536e-14,3.44612259372851e-07,0.000454801935736713,0.00564535220891199,0.012162273363052,0.203817317995216,0.391852960230606,0.127416925505154,0.241967193338744,0.0166828308102887
